,satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,promotion_last_5years,sales_RandD,sales_accounting,sales_hr,sales_management,sales_marketing,sales_product_mng,sales_sales,sales_support,sales_technical,salary_low,salary_medium,Predicted_Probability,Risk_Zone
1327,0.42,0.47,2,157,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0.99,4
14729,0.44,0.54,2,151,3,0,0,0,0,0,1,0,0,0,0,0,1,0,1.0,4
14442,0.92,0.99,5,255,6,0,0,0,0,0,0,0,0,1,0,0,1,0,1.0,4
12573,0.36,0.47,2,148,3,0,0,0,0,0,0,0,0,0,0,1,0,1,1.0,4
14364,0.4,0.52,2,155,3,0,0,0,0,0,0,1,0,0,0,0,1,0,1.0,4
1897,0.1,0.94,7,264,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,4
1984,0.4,0.49,2,160,3,0,0,0,0,0,0,1,0,0,0,0,1,0,1.0,4
147,0.11,0.87,6,306,4,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,4
600,0.77,0.98,5,259,6,0,0,0,0,0,0,0,1,0,0,0,1,0,1.0,4
1503,0.4,0.46,2,155,3,0,0,0,0,0,0,0,0,0,1,0,0,1,1.0,4
12258,0.88,0.88,5,232,5,1,0,0,1,0,0,0,0,0,0,0,0,1,0.96,4
14751,0.45,0.54,2,129,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1.0,4
1796,0.88,0.91,4,234,6,0,0,0,0,0,0,0,0,0,0,1,1,0,0.99,4
1056,0.45,0.56,2,143,3,0,0,0,0,0,0,0,1,0,0,0,1,0,1.0,4
12102,0.42,0.46,2,150,3,0,0,0,0,0,0,0,0,1,0,0,0,1,1.0,4
12532,0.1,0.84,6,246,4,0,0,0,0,1,0,0,0,0,0,0,0,1,1.0,4
1527,0.38,0.55,2,131,3,0,0,0,0,0,0,1,0,0,0,0,1,0,0.99,4
1394,0.41,0.52,2,142,3,0,0,0,0,0,0,0,0,1,0,0,0,1,1.0,4
12303,0.37,0.55,2,127,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0.96,4
12177,0.38,0.5,2,140,3,0,0,0,0,0,0,0,0,1,0,0,0,1,1.0,4
14810,0.11,0.92,7,307,4,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,4
1772,0.83,0.93,4,269,5,0,0,0,0,0,0,0,0,1,0,0,1,0,0.99,4
212,0.88,1.0,5,219,5,0,0,0,0,0,0,0,0,0,0,1,1,0,1.0,4
12137,0.42,0.48,2,129,3,0,0,0,0,0,1,0,0,0,0,0,1,0,1.0,4
12782,0.72,1.0,4,245,5,0,0,0,0,0,0,0,0,1,0,0,1,0,0.92,4
140,0.09,0.96,6,245,4,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,4
12383,0.38,0.51,2,159,3,0,0,0,0,0,0,0,0,1,0,0,0,1,1.0,4
14963,0.09,0.95,6,271,4,0,0,0,0,0,0,0,0,1,0,0,1,0,1.0,4
614,0.09,0.9,7,296,4,0,0,0,0,0,0,0,0,0,0,1,0,1,1.0,4
872,0.1,0.9,5,263,4,0,0,0,0,1,0,0,0,0,0,0,1,0,0.97,4
182,0.89,0.99,5,257,5,0,0,0,1,0,0,0,0,0,0,0,0,1,0.99,4
58,0.38,0.54,2,128,3,0,0,0,0,0,0,0,0,0,0,1,1,0,1.0,4
540,0.45,0.54,2,129,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1.0,4
1782,0.73,1.0,4,268,5,0,0,0,0,0,0,0,0,1,0,0,0,1,0.98,4
7,0.92,0.85,5,259,5,0,0,0,0,0,0,0,0,1,0,0,1,0,1.0,4
889,0.11,0.79,6,281,4,0,0,0,0,0,0,0,0,0,1,0,0,1,1.0,4
23,0.46,0.57,2,139,3,0,0,0,0,0,0,0,0,1,0,0,1,0,1.0,4
12635,0.39,0.57,2,127,3,0,0,0,0,0,0,0,0,1,0,0,1,0,1.0,4
1667,0.44,0.55,2,128,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0.91,4
812,0.38,0.49,2,127,3,0,0,0,0,0,0,0,0,0,1,0,0,1,1.0,4
510,0.44,0.48,2,146,3,0,0,0,0,0,0,0,0,0,1,0,1,0,1.0,4
14937,0.46,0.55,2,147,3,0,0,0,0,0,0,0,1,0,0,0,0,1,1.0,4
1363,0.37,0.46,2,134,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0.99,4
295,0.38,0.51,2,146,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,4
52,0.38,0.55,2,134,3,0,0,0,0,0,0,0,0,0,1,0,1,0,1.0,4
8,0.89,1.0,5,224,5,0,0,0,0,0,0,0,0,1,0,0,1,0,1.0,4
398,0.87,0.83,4,265,6,0,0,0,0,0,0,0,0,1,0,0,1,0,0.99,4
1585,0.73,0.93,5,229,5,0,0,0,0,0,0,0,0,0,0,1,0,1,0.95,4
12165,0.11,0.84,7,296,4,0,0,0,0,0,0,0,0,1,0,0,1,0,1.0,4
879,0.82,0.97,5,263,5,0,0,0,0,0,0,0,0,0,0,1,0,1,0.99,4
1733,0.42,0.52,2,160,3,0,0,0,0,0,0,0,0,0,1,0,1,0,1.0,4
1586,0.76,0.85,5,236,6,0,0,0,0,0,0,0,0,0,0,1,0,1,0.94,4
1308,0.09,0.94,6,266,4,0,0,0,0,0,0,0,0,1,0,0,0,1,1.0,4
1537,0.4,0.57,2,152,3,0,0,0,0,0,0,0,0,1,0,0,1,0,1.0,4
532,0.1,0.84,6,246,4,0,0,0,0,1,0,0,0,0,0,0,0,1,1.0,4
14274,0.36,0.56,2,132,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,4
224,0.4,0.56,2,149,3,0,0,0,1,0,0,0,0,0,0,0,1,0,1.0,4
14823,0.37,0.47,2,138,3,1,0,0,1,0,0,0,0,0,0,0,0,1,1.0,4
1980,0.1,0.79,6,301,5,0,0,1,0,0,0,0,0,0,0,0,0,1,0.95,4
202,0.76,1.0,5,219,5,0,0,0,0,0,0,0,0,0,1,0,1,0,1.0,4
1253,0.85,1.0,4,234,5,0,0,0,0,1,0,0,0,0,0,0,1,0,0.98,4
14236,0.89,0.92,5,242,5,0,0,0,0,0,0,0,0,1,0,0,1,0,1.0,4
14979,0.09,0.93,6,296,4,0,0,0,0,0,0,0,0,0,0,1,0,1,1.0,4
444,0.39,0.54,2,127,3,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,4
14498,0.11,0.79,6,292,4,0,1,0,0,0,0,0,0,0,0,1,1,0,0.96,4
371,0.36,0.51,2,135,3,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,4
12315,0.73,0.86,4,245,6,0,0,0,0,0,0,0,0,1,0,0,1,0,0.97,4
1821,0.11,0.88,6,294,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,4
3,0.72,0.87,5,223,5,0,0,0,0,0,0,0,0,1,0,0,1,0,0.93,4
14706,0.82,0.99,4,263,6,0,0,0,0,0,0,0,0,0,0,1,0,1,1.0,4
14984,0.4,0.56,2,148,3,0,0,0,0,0,0,0,0,0,0,1,0,1,1.0,4
12014,0.36,0.56,2,137,3,0,0,0,0,0,0,0,0,1,0,0,1,0,1.0,4
416,0.82,1.0,4,229,6,0,0,0,0,1,0,0,0,0,0,0,0,1,1.0,4
14254,0.1,0.8,7,281,4,0,0,0,0,0,0,0,0,0,0,1,1,0,1.0,4
1664,0.1,0.96,6,264,4,0,0,0,0,0,1,0,0,0,0,0,0,1,0.99,4
14261,0.13,0.78,6,152,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0.99,4
641,0.74,0.97,4,228,5,0,0,0,0,1,0,0,0,0,0,0,1,0,1.0,4
12344,0.37,0.52,2,155,3,0,0,0,0,0,0,0,0,0,0,1,0,1,1.0,4
14351,0.09,0.96,6,245,4,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,4
14235,0.4,0.53,2,158,3,0,0,0,0,0,0,0,0,1,0,0,1,0,1.0,4
362,0.41,0.54,2,145,3,0,0,0,0,0,0,0,0,0,1,0,1,0,1.0,4
459,0.4,0.48,2,137,3,0,0,0,0,0,0,0,0,1,0,0,0,1,1.0,4
190,0.09,0.8,7,283,5,0,0,0,0,0,0,0,0,0,0,1,1,0,1.0,4
1360,0.11,0.83,6,262,5,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,4
14,0.36,0.56,2,137,3,0,0,0,0,0,0,0,0,1,0,0,1,0,1.0,4
14438,0.44,0.54,2,149,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0.99,4
14487,0.1,0.97,6,267,4,1,0,0,0,0,0,0,0,0,1,0,1,0,1.0,4
14279,0.76,0.86,5,223,5,1,0,0,0,0,0,0,1,0,0,0,0,1,1.0,4
731,0.79,0.94,4,232,5,0,0,0,0,0,0,0,0,0,0,1,0,1,1.0,4
